condition,sentence_original,target,context_original,context_baseline1,context_baseline2,context_baseline3
rw_incon,"Because Stephen had been old enough, he had no problems buying alcohol. When Stephen went to his local off licence he was refused to buy anything.",refused,"Because Stephen had been old enough, he had no problems buying alcohol. When Stephen went to his local off licence he was refused", When Stephen went to his local off licence he was refused,"Because Stephen had been old enough, he had no problems buying alcohol. When Stephen went to his local off licence he was refused","Stephen had been old enough, he had no problems buying alcohol. When Stephen went to his local off licence he was refused"
cw_con,"If Stephen had been old enough, he would have had no problems buying alcohol. When Stephen went to his local off licence he was refused to buy anything.",refused,"If Stephen had been old enough, he would have had no problems buying alcohol. When Stephen went to his local off licence he was refused", When Stephen went to his local off licence he was refused,"If Stephen had been old enough, he would have had no problems buying alcohol. When Stephen went to his local off licence he would be refused","Stephen had been old enough, he would have had no problems buying alcohol. When Stephen went to his local off licence he was refused"
cw_incon,"If Stephen had been old enough, he would have had no problems buying alcohol. When Stephen went to his local off licence he was allowed to buy anything.",allowed,"If Stephen had been old enough, he would have had no problems buying alcohol. When Stephen went to his local off licence he was allowed", When Stephen went to his local off licence he was allowed,"If Stephen had been old enough, he would have had no problems buying alcohol. When Stephen went to his local off licence he would be allowed","Stephen had been old enough, he would have had no problems buying alcohol. When Stephen went to his local off licence he was allowed"
rw_con,"Because Sally had been an accomplished skier, she hadn’t had an accident. Now Sally boarded the flight home with no problems and hoped to fall asleep quickly.",no problems,"Because Sally had been an accomplished skier, she hadn’t had an accident. Now Sally boarded the flight home with no problems", Now Sally boarded the flight home with no problems,"Because Sally had been an accomplished skier, she hadn‚Äôt had an accident. Now Sally boarded the flight home with no problems","Sally had been an accomplished skier, she hadn’t had an accident. Now Sally boarded the flight home with no problems"
rw_incon,"Because Sally had been an accomplished skier, she hadn’t had an accident. Now Sally boarded the flight home with crutches and hoped to fall asleep quickly.",crutches,"Because Sally had been an accomplished skier, she hadn’t had an accident. Now Sally boarded the flight home with crutches", Now Sally boarded the flight home with crutches,"Because Sally had been an accomplished skier, she hadn‚Äôt had an accident. Now Sally boarded the flight home with crutches","Sally had been an accomplished skier, she hadn’t had an accident. Now Sally boarded the flight home with crutches"
cw_con,"If Sally had been an accomplished skier, she wouldn’t have had an accident. Now Sally boarded the flight home with crutches and hoped to fall asleep quickly.",crutches,"If Sally had been an accomplished skier, she wouldn’t have had an accident. Now Sally boarded the flight home with crutches", Now Sally boarded the flight home with crutches,"If Sally had been an accomplished skier, she wouldn‚Äôt have had an accident. Now Sally would board the flight home with crutches","Sally had been an accomplished skier, she wouldn’t have had an accident. Now Sally boarded the flight home with crutches"
cw_incon,"If Sally had been an accomplished skier, she wouldn’t have had an accident. Now Sally boarded the flight home with no problems and hoped to fall asleep quickly.",no problems,"If Sally had been an accomplished skier, she wouldn’t have had an accident. Now Sally boarded the flight home with no problems", Now Sally boarded the flight home with no problems,"If Sally had been an accomplished skier, she wouldn‚Äôt have had an accident. Now Sally would board the flight home with no problems","Sally had been an accomplished skier, she wouldn’t have had an accident. Now Sally boarded the flight home with no problems"
rw_con,"Because Andy had revised diligently, he had passed the exam first time round. Now Andy was preparing to celebrate over the Summer holidays.",celebrate,"Because Andy had revised diligently, he had passed the exam first time round. Now Andy was preparing to celebrate", Now Andy was preparing to celebrate,"Because Andy had revised diligently, he had passed the exam first time round. Now Andy was preparing to celebrate","Andy had revised diligently, he had passed the exam first time round. Now Andy was preparing to celebrate"
rw_incon,"Because Andy had revised diligently, he had passed the exam first time round. Now Andy was preparing to resit over the Summer holidays. ",resit,"Because Andy had revised diligently, he had passed the exam first time round. Now Andy was preparing to resit", Now Andy was preparing to resit,"Because Andy had revised diligently, he had passed the exam first time round. Now Andy was preparing to resit","Andy had revised diligently, he had passed the exam first time round. Now Andy was preparing to resit"
cw_con,"If Andy had revised diligently, he would have passed the exam first time round. Now Andy was preparing to resit over the Summer holidays.",resit,"If Andy had revised diligently, he would have passed the exam first time round. Now Andy was preparing to resit", Now Andy was preparing to resit,"If Andy had revised diligently, he would have passed the exam first time round. Now Andy would be preparing to resit","Andy had revised diligently, he would have passed the exam first time round. Now Andy was preparing to resit"
cw_incon,"If Andy had revised diligently, he would have passed the exam first time round. Now Andy was preparing to celebrate over the Summer holidays.",celebrate,"If Andy had revised diligently, he would have passed the exam first time round. Now Andy was preparing to celebrate", Now Andy was preparing to celebrate,"If Andy had revised diligently, he would have passed the exam first time round. Now Andy would be preparing to celebrate","Andy had revised diligently, he would have passed the exam first time round. Now Andy was preparing to celebrate"
rw_con,"Because Helen had watered her plants every day, they had bloomed throughout the Summer. Helen’s neighbours commented that they were impressed with the garden.",impressed,"Because Helen had watered her plants every day, they had bloomed throughout the Summer. Helen’s neighbours commented that they were impressed", Helen’s neighbours commented that they were impressed,"Because Helen had watered her plants every day, they had bloomed throughout the Summer. Helen‚Äôs neighbours commented that they were impressed","Helen had watered her plants every day, they had bloomed throughout the Summer. Helen’s neighbours commented that they were impressed"
rw_incon,"Because Helen had watered her plants every day, they had bloomed throughout the Summer. Helen’s neighbours commented that they were disappointed with the garden.",disappointed,"Because Helen had watered her plants every day, they had bloomed throughout the Summer. Helen’s neighbours commented that they were disappointed", Helen’s neighbours commented that they were disappointed,"Because Helen had watered her plants every day, they had bloomed throughout the Summer. Helen‚Äôs neighbours commented that they were disappointed","Helen had watered her plants every day, they had bloomed throughout the Summer. Helen’s neighbours commented that they were disappointed"
cw_con,"If Helen had watered her plants every day, they would have bloomed throughout the Summer. Helen’s neighbours commented that they were disappointed with the garden.",disappointed,"If Helen had watered her plants every day, they would have bloomed throughout the Summer. Helen’s neighbours commented that they were disappointed", Helen’s neighbours commented that they were disappointed,"If Helen had watered her plants every day, they would have bloomed throughout the Summer. Helen‚Äôs neighbours commented that they would be disappointed","Helen had watered her plants every day, they would have bloomed throughout the Summer. Helen’s neighbours commented that they were disappointed"
cw_incon,"If Helen had watered her plants every day, they would have bloomed throughout the Summer. Helen’s neighbours commented that they were impressed with the garden.",impressed,"If Helen had watered her plants every day, they would have bloomed throughout the Summer. Helen’s neighbours commented that they were impressed", Helen’s neighbours commented that they were impressed,"If Helen had watered her plants every day, they would have bloomed throughout the Summer. Helen‚Äôs neighbours commented that they would be impressed","Helen had watered her plants every day, they would have bloomed throughout the Summer. Helen’s neighbours commented that they were impressed"
rw_con,"Because Elaine’s car had passed its MOT, it had been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were satisfied to let her continue home.",satisfied,"Because Elaine’s car had passed its MOT, it had been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were satisfied", Last week the police stopped Elaine in her car and were satisfied,"Because Elaine‚Äôs car had passed its MOT, it had been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were satisfied","Elaine’s car had passed its MOT, it had been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were satisfied"
rw_incon,"Because Elaine’s car had passed its MOT, it had been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were unwilling to let her continue home.",unwilling,"Because Elaine’s car had passed its MOT, it had been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were unwilling", Last week the police stopped Elaine in her car and were unwilling,"Because Elaine‚Äôs car had passed its MOT, it had been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were unwilling","Elaine’s car had passed its MOT, it had been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were unwilling"
cw_con,"If Elaine’s car had passed its MOT, it would have been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were unwilling to let her continue home.",unwilling,"If Elaine’s car had passed its MOT, it would have been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were unwilling", Last week the police stopped Elaine in her car and were unwilling,"If Elaine‚Äôs car had passed its MOT, it would have been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and would be unwilling","Elaine’s car had passed its MOT, it would have been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were unwilling"
cw_incon,"If Elaine’s car had passed its MOT, it would have been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were satisfied to let her continue home.",satisfied,"If Elaine’s car had passed its MOT, it would have been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were satisfied", Last week the police stopped Elaine in her car and were satisfied,"If Elaine‚Äôs car had passed its MOT, it would have been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and would be satisfied","Elaine’s car had passed its MOT, it would have been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were satisfied"
rw_con,"Because Isobel had been on a diet for the last months, she had lost a lot of weight. Isobel now buys her clothes in a size small but her husband gets upset at the cost.",small,"Because Isobel had been on a diet for the last months, she had lost a lot of weight. Isobel now buys her clothes in a size small", Isobel now buys her clothes in a size small,"Because Isobel had been on a diet for the last months, she had lost a lot of weight. Isobel now buys her clothes in a size small","Isobel had been on a diet for the last months, she had lost a lot of weight. Isobel now buys her clothes in a size small"
rw_incon,"Because Isobel had been on a diet for the last months, she had lost a lot of weight. Isobel now buys her clothes in a size large but her husband gets upset at the cost.",large,"Because Isobel had been on a diet for the last months, she had lost a lot of weight. Isobel now buys her clothes in a size large", Isobel now buys her clothes in a size large,"Because Isobel had been on a diet for the last months, she had lost a lot of weight. Isobel now buys her clothes in a size large","Isobel had been on a diet for the last months, she had lost a lot of weight. Isobel now buys her clothes in a size large"
cw_con,"If Isobel had been on a diet for the last months, she would have lost a lot of weight. Isobel now buys her clothes in a size large but her husband gets upset at the cost.",large,"If Isobel had been on a diet for the last months, she would have lost a lot of weight. Isobel now buys her clothes in a size large", Isobel now buys her clothes in a size large,"If Isobel had been on a diet for the last months, she would have lost a lot of weight. Isobel now would buy her clothes in a size large","Isobel had been on a diet for the last months, she would have lost a lot of weight. Isobel now buys her clothes in a size large"
cw_incon,"If Isobel had been on a diet for the last months, she would have lost a lot of weight. Isobel now buys her clothes in a size small but her husband gets upset at the cost.",small,"If Isobel had been on a diet for the last months, she would have lost a lot of weight. Isobel now buys her clothes in a size small", Isobel now buys her clothes in a size small,"If Isobel had been on a diet for the last months, she would have lost a lot of weight. Isobel now would buy her clothes in a size small","Isobel had been on a diet for the last months, she would have lost a lot of weight. Isobel now buys her clothes in a size small"
rw_con,"Because Alison had received a bonus, she had got very drunk at the office Christmas party. The next morning Alison had woken up feeling hungover and looked forward to the festive break.",hungover,"Because Alison had received a bonus, she had got very drunk at the office Christmas party. The next morning Alison had woken up feeling hungover", The next morning Alison had woken up feeling hungover,"Because Alison had received a bonus, she had got very drunk at the office Christmas party. The next morning Alison had woken up feeling hungover","Alison had received a bonus, she had got very drunk at the office Christmas party. The next morning Alison had woken up feeling hungover"
rw_incon,"Because Alison had received a bonus, she had got very drunk at the office Christmas party. The next morning Alison had woken up feeling refreshed and looked forward to the festive break.",refreshed,"Because Alison had received a bonus, she had got very drunk at the office Christmas party. The next morning Alison had woken up feeling refreshed", The next morning Alison had woken up feeling refreshed,"Because Alison had received a bonus, she had got very drunk at the office Christmas party. The next morning Alison had woken up feeling refreshed","Alison had received a bonus, she had got very drunk at the office Christmas party. The next morning Alison had woken up feeling refreshed"
cw_con,"If Alison had received a bonus, she would have got very drunk at the office Christmas party. The next morning Alison had woken up feeling refreshed and looked forward to the festive break.",refreshed,"If Alison had received a bonus, she would have got very drunk at the office Christmas party. The next morning Alison had woken up feeling refreshed and looked forward to the festive break.hungover", The next morning Alison had woken up feeling refreshed and looked forward to the festive break,"If Alison had received a bonus, she would have got very drunk at the office Christmas party. The next morning Alison would have woken up feeling refreshed and looked forward to the festive break.hungover","Alison had received a bonus, she would have got very drunk at the office Christmas party. The next morning Alison had woken up feeling refreshed and looked forward to the festive break.hungover"
cw_incon,"If Alison had received a bonus, she would have got very drunk at the office Christmas party. The next morning Alison had woken up feeling hungover and looked forward to the festive break.",hungover,"If Alison had received a bonus, she would have got very drunk at the office Christmas party. The next morning Alison had woken up feeling hungover and looked forward to the festive break.refreshed", The next morning Alison had woken up feeling hungover and looked forward to the festive break,"If Alison had received a bonus, she would have got very drunk at the office Christmas party. The next morning Alison would have woken up feeling hungover and looked forward to the festive break.refreshed","Alison had received a bonus, she would have got very drunk at the office Christmas party. The next morning Alison had woken up feeling hungover and looked forward to the festive break.refreshed"
rw_con,"Because Bill had trained thoroughly, he had completed this year’s London marathon. The following day Bill felt delighted with his efforts.",delighted,"Because Bill had trained thoroughly, he had completed this year’s London marathon. The following day Bill felt delighted", The following day Bill felt delighted,"Because Bill had trained thoroughly, he had completed this year‚Äôs London marathon. The following day Bill felt delighted","Bill had trained thoroughly, he had completed this year’s London marathon. The following day Bill felt delighted"
rw_incon,"Because Bill had trained thoroughly, he had completed this year’s London marathon. The following day Bill felt frustrated with his efforts.",frustrated,"Because Bill had trained thoroughly, he had completed this year’s London marathon. The following day Bill felt frustrated", The following day Bill felt frustrated,"Because Bill had trained thoroughly, he had completed this year‚Äôs London marathon. The following day Bill felt frustrated","Bill had trained thoroughly, he had completed this year’s London marathon. The following day Bill felt frustrated"
cw_con,"If Bill had trained thoroughly, he would have completed this year’s London marathon. The following day Bill felt frustrated with his efforts.",frustrated,"If Bill had trained thoroughly, he would have completed this year’s London marathon. The following day Bill felt frustrated", The following day Bill felt frustrated,"If Bill had trained thoroughly, he would have completed this year‚Äôs London marathon. The following day Bill would feel frustrated","Bill had trained thoroughly, he would have completed this year’s London marathon. The following day Bill felt frustrated"
cw_incon,"If Bill had trained thoroughly, he would have completed this year’s London marathon. The following day Bill felt delighted with his efforts.",delighted,"If Bill had trained thoroughly, he would have completed this year’s London marathon. The following day Bill felt delighted", The following day Bill felt delighted,"If Bill had trained thoroughly, he would have completed this year‚Äôs London marathon. The following day Bill would feel delighted","Bill had trained thoroughly, he would have completed this year’s London marathon. The following day Bill felt delighted"
rw_con,"Because the racing driver had won the last race, he had won the season’s championship title. That evening, the racing driver’s team celebrated with him at the pub.",celebrated,"Because the racing driver had won the last race, he had won the season’s championship title. That evening, the racing driver’s team celebrated"," That evening, the racing driver’s team celebrated","Because the racing driver had won the last race, he had won the season‚Äôs championship title. That evening, the racing driver‚Äôs team celebrated","the racing driver had won the last race, he had won the season’s championship title. That evening, the racing driver’s team celebrated"
rw_incon,"Because the racing driver had won the last race, he had won the season’s championship title. That evening, the racing driver’s team commiserated with him at the pub.",commiserated,"Because the racing driver had won the last race, he had won the season’s championship title. That evening, the racing driver’s team commiserated"," That evening, the racing driver’s team commiserated","Because the racing driver had won the last race, he had won the season‚Äôs championship title. That evening, the racing driver‚Äôs team commiserated","the racing driver had won the last race, he had won the season’s championship title. That evening, the racing driver’s team commiserated"
cw_con,"If the racing driver had won the last race, he would have won the season’s championship title. That evening, the racing driver’s team commiserated with him at the pub.",commiserated,"If the racing driver had won the last race, he would have won the season’s championship title. That evening, the racing driver’s team commiserated"," That evening, the racing driver’s team commiserated","If the racing driver had won the last race, he would have won the season‚Äôs championship title. That evening, the racing driver‚Äôs team would have commiserated","the racing driver had won the last race, he would have won the season’s championship title. That evening, the racing driver’s team commiserated"
cw_incon,"If the racing driver had won the last race, he would have won the season’s championship title. That evening, the racing driver’s team celebrated with him at the pub.",celebrated,"If the racing driver had won the last race, he would have won the season’s championship title. That evening, the racing driver’s team celebrated"," That evening, the racing driver’s team celebrated","If the racing driver had won the last race, he would have won the season‚Äôs championship title. That evening, the racing driver‚Äôs team would have celebrated","the racing driver had won the last race, he would have won the season’s championship title. That evening, the racing driver’s team celebrated"
