condition,CW- or CWC-congruent,sentence
RWCA,Y,"Because Andy had revised diligently, he had passed the exam first time round. Now Andy was preparing to resit"
CWC,Y,"If Andy had revised diligently, he would have passed the exam first time round. Now Andy was preparing to resit"
CWC,N,"If Andy had revised diligently, he would have passed the exam first time round. Now Andy was preparing to celebrate"
RWCA,N,"Because Helen had watered her plants every day, they had bloomed throughout the Summer. Helen’s neighbours commented that they were impressed"
RWCA,Y,"Because Helen had watered her plants every day, they had bloomed throughout the Summer. Helen’s neighbours commented that they were disappointed"
CWC,Y,"If Helen had watered her plants every day, they would have bloomed throughout the Summer. Helen’s neighbours commented that they were disappointed"
CWC,N,"If Helen had watered her plants every day, they would have bloomed throughout the Summer. Helen’s neighbours commented that they were impressed"
RWCA,N,"Because Elaine’s car had passed its MOT, it had been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were satisfied"
RWCA,Y,"Because Elaine’s car had passed its MOT, it had been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were unwilling"
CWC,Y,"If Elaine’s car had passed its MOT, it would have been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were unwilling"
CWC,N,"If Elaine’s car had passed its MOT, it would have been deemed safe to be driven on the roads. Last week the police stopped Elaine in her car and were satisfied"
RWCA,N,"Because Isobel had been on a diet for the last months, she had lost a lot of weight. Isobel now buys her clothes in a size small"
RWCA,Y,"Because Isobel had been on a diet for the last months, she had lost a lot of weight. Isobel now buys her clothes in a size large"
CWC,Y,"If Isobel had been on a diet for the last months, she would have lost a lot of weight. Isobel now buys her clothes in a size large"
CWC,N,"If Isobel had been on a diet for the last months, she would have lost a lot of weight. Isobel now buys her clothes in a size small"
RWCA,N,"Because Alison had received a bonus, she had got very drunk at the office Christmas party. The next morning Alison had woken up feeling hungover"
RWCA,Y,"Because Alison had received a bonus, she had got very drunk at the office Christmas party. The next morning Alison had woken up feeling refreshed"
CWC,Y,"If Alison had received a bonus, she would have got very drunk at the office Christmas party. The next morning Alison had woken up feeling refreshed and looked forward to the festive break.hungover"
CWC,N,"If Alison had received a bonus, she would have got very drunk at the office Christmas party. The next morning Alison had woken up feeling hungover and looked forward to the festive break.refreshed"
RWCA,N,"Because Bill had trained thoroughly, he had completed this year’s London marathon. The following day Bill felt delighted"
RWCA,Y,"Because Bill had trained thoroughly, he had completed this year’s London marathon. The following day Bill felt frustrated"
CWC,Y,"If Bill had trained thoroughly, he would have completed this year’s London marathon. The following day Bill felt frustrated"
CWC,N,"If Bill had trained thoroughly, he would have completed this year’s London marathon. The following day Bill felt delighted"
RWCA,N,"Because the racing driver had won the last race, he had won the season’s championship title. That evening, the racing driver’s team celebrated"
RWCA,Y,"Because the racing driver had won the last race, he had won the season’s championship title. That evening, the racing driver’s team commiserated"
CWC,Y,"If the racing driver had won the last race, he would have won the season’s championship title. That evening, the racing driver’s team commiserated"
CWC,N,"If the racing driver had won the last race, he would have won the season’s championship title. That evening, the racing driver’s team celebrated"
BBC,N," In the end, Susan arrived at work early"
BBC,Y," In the end, Susan arrived at work late"
BBC,N, After waiting outside for an hour he now felt warm
BBC,Y, After waiting outside for an hour he now felt cold
BBC,N, When she checked her bank balance today she was happy
BBC,Y, When she checked her bank balance today she was worried
BBC,N, The businessman called his office to say he would arrive late
BBC,Y, The businessman called his office to say he would arrive ontime
BBC,N," That evening, Susan left the restaurant feeling full"
BBC,Y," That evening, Susan left the restaurant feeling hungry"
BBC,N, The bank manager told Emma that her account was in credit
BBC,Y, The bank manager told Emma that her account was in debit
BBC,N," Back then, Marc was a celebrity"
BBC,Y," Back then, Marc was a noone"
BBC,N, Last night Victoria watched La Boheme and felt excited
BBC,Y, Last night Victoria watched La Boheme and felt bored
BBC,N," Yesterday, when Tony gave his talk he felt confident"
BBC,Y," Yesterday, when Tony gave his talk he felt nervous"
BBC,N, Bill called a friend to say he would be punctual
BBC,Y, Bill called a friend to say he would be delayed
BBC,N, By the time she arrived at school Joanne’s hair was dry
BBC,Y, By the time she arrived at school Joanne’s hair was wet
BBC,N, When Martin eats in a restaurant he often chooses chicken
BBC,Y, When Martin eats in a restaurant he often chooses prawns
BBC,N," In the end, Edward was happy to have missed"
BBC,Y," In the end, Edward was happy to have been at"
BBC,N, Now it looked like Sofia was going to be promoted
BBC,Y, Now it looked like Sofia was going to be fired
BBC,N, The lawyers watched as the accused was imprisoned
BBC,Y, The lawyers watched as the accused was released
BBC,N, When Stephen went to his local off licence he was allowed
BBC,Y, When Stephen went to his local off licence he was refused
BBC,N, Now Sally boarded the flight home with no problems
BBC,Y, Now Sally boarded the flight home with crutches
BBC,N, Now Andy was preparing to celebrate
BBC,Y, Now Andy was preparing to resit
BBC,N, Helen’s neighbours commented that they were impressed
BBC,Y, Helen’s neighbours commented that they were disappointed
BBC,N, Last week the police stopped Elaine in her car and were satisfied
BBC,Y, Last week the police stopped Elaine in her car and were unwilling
BBC,N, Isobel now buys her clothes in a size small
BBC,Y, Isobel now buys her clothes in a size large
BBC,N, The next morning Alison had woken up feeling hungover
BBC,Y, The next morning Alison had woken up feeling refreshed
BBC,N, The following day Bill felt delighted
BBC,Y, The following day Bill felt frustrated
BBC,N," That evening, the racing driver’s team celebrated"
BBC,Y," That evening, the racing driver’s team commiserated"
BB,N, A student would take a foreign language course to improve his French
BB,Y, Lovers would go to an Indian restaurant to eat some curry
BB,N, Mary would take her children to the Asda superstore to shop
BB,Y, Husbands would go to a shoe shop to buy some trainers
BB,N, Sarah would call a plumber to fix her broken toilet
BB,Y, You would have your hair cut by a hairdresser
BB,N, School pupils would go to the countryside to study birds flying
BB,Y, A golfer would hurt his shoulder from swinging his club
BB,N, A student would become a solicitor by studying law
BB,Y, John would invite Mary to the cinema for a movie
BB,N, A train driver would be in charge of the engine
BB,Y, A caterpillar would mature into a butterfly
BB,N, Reporters would carry out an interview with Prince
BB,Y, A colony of ants would escape from predators by climbing
BB,N, Visitors would go to Chicago to watch baseball
BB,Y, Steve would see the Eiffel Tower in France
BB,N, Crowds of people would watch Tony Blair lead an campaign
BB,Y, Environmentalists would watch chickens give birth to eggs
BB,N, Gillian would paint sparkly pink nail varnish onto her nails
BB,Y, A spider would spend all day producing webs
BB,N, Football fans would cheer when a player scores a goal
BB,Y, People would sunbathe on the beach at midday
BB,N, Children would stay awake on Christmas Eve to look for Santa
BB,Y, Darwin would have published a book about the evolution of animals
BB,N, A ferry would travel across the Atlantic Ocean in the sea
BB,Y, Isaac Newton would have documented his research on a typewriter
BB,N, Gary would go to Switzerland to climb the mountains
BB,Y, Judith would listen to her cat meow
BB,N, Footballers would avoid a tackle by passing the ball using their feet
BB,Y, A bird would avoid collisions at night using sight
BB,N, The next King of England would be chosen by heredity
BB,Y, Penguins would learn to outrun bears
BB,N, A student would take a foreign language course to improve his painting
BB,Y, Lovers would go to an Indian restaurant to eat some pasta
BB,N, Mary would take her children to the Asda superstore to swim
BB,Y, Husbands would go to a shoe shop to buy some roses
BB,N, Sarah would call a plumber to fix her broken ankle
BB,Y, You would have your hair cut by a dentist
BB,N, School pupils would go to the countryside to study birds swimming
BB,Y, A golfer would hurt his shoulder from swinging his racket
BB,N, A student would become a solicitor by studying medicine
BB,Y, John would invite Mary to the cinema for a dance
BB,N, A train driver would be in charge of the mainsail
BB,Y, A caterpillar would mature into a sparrow
BB,N, Reporters would carry out an interview with Elvis
BB,Y, A colony of ants would escape from predators by flying
BB,N, Visitors would go to Chicago to watch bullfights
BB,Y, Steve would see the Eiffel Tower in Germany
BB,N, Crowds of people would watch Tony Blair lead an opera
BB,Y, Environmentalists would watch chickens give birth to chicks
BB,N, Gillian would paint sparkly pink nail varnish onto her eyelids
BB,Y, A spider would spend all day producing honey
BB,N, Football fans would cheer when a player scores a try
BB,Y, People would sunbathe on the beach at midnight
BB,N, Children would stay awake on Christmas Eve to look for Elvis
BB,Y, Darwin would have published a book about the evolution of aspirin
BB,N, A ferry would travel across the Atlantic Ocean in the air
BB,Y, Isaac Newton would have documented his research on a laptop
BB,N, Gary would go to Switzerland to climb the sanddunes
BB,Y, Judith would listen to her cat talk
BB,N, Footballers would avoid a tackle by passing the ball using their hands
BB,Y, A bird would avoid collisions at night using sonar
BB,N, The next King of England would be chosen by ballot
BB,Y, Penguins would learn to outrun cheetah
