sentence,condition,CW- or CWC-congruent
"If Charles Darwin had been enthusiastic about medicine, Darwin might have published a book about cancer.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin would have written a paper on aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin might have written a paper on aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin would have written a paper on drugs.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin might have written a paper on drugs.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin would have written a paper on hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin might have written a paper on hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin would have written a paper on antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin might have written a paper on antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin would have written a paper on cancer.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin might have written a paper on cancer.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin would have analyzed aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin might have analyzed aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin would have analyzed drugs.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin might have analyzed drugs.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin would have analyzed hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin might have analyzed hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin would have analyzed antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin might have analyzed antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin would have analyzed cancer.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin might have analyzed cancer.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin would have publicized the research aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin might have publicized the research aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin would have publicized the research drugs.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin might have publicized the research drugs.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin would have publicized the research hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin might have publicized the research hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin would have publicized the research antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin might have publicized the research antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin would have publicized the research cancer.",CW,Y
"If Charles Darwin had been enthusiastic about medicine, Darwin might have publicized the research cancer.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have published a book about aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have published a book about aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have published a book about drugs.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have published a book about drugs.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have published a book about hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have published a book about hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have published a book about antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have published a book about antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have published a book about cancer.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have published a book about cancer.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have written a paper on aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have written a paper on aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have written a paper on drugs.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have written a paper on drugs.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have written a paper on hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have written a paper on hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have written a paper on antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have written a paper on antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have written a paper on cancer.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have written a paper on cancer.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have analyzed aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have analyzed aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have analyzed drugs.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have analyzed drugs.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have analyzed hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have analyzed hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have analyzed antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have analyzed antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have analyzed cancer.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have analyzed cancer.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have publicized the research aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have publicized the research aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have publicized the research drugs.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have publicized the research drugs.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have publicized the research hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have publicized the research hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have publicized the research antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have publicized the research antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin would have publicized the research cancer.",CW,Y
"If Charles Darwin had been enthusiastic about pharmacy, Darwin might have publicized the research cancer.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have published a book about aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have published a book about aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have published a book about drugs.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have published a book about drugs.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have published a book about hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have published a book about hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have published a book about antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have published a book about antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have published a book about cancer.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have published a book about cancer.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have written a paper on aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have written a paper on aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have written a paper on drugs.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have written a paper on drugs.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have written a paper on hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have written a paper on hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have written a paper on antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have written a paper on antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have written a paper on cancer.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have written a paper on cancer.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have analyzed aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have analyzed aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have analyzed drugs.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have analyzed drugs.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have analyzed hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have analyzed hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have analyzed antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have analyzed antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have analyzed cancer.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have analyzed cancer.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have publicized the research aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have publicized the research aspirin.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have publicized the research drugs.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have publicized the research drugs.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have publicized the research hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have publicized the research hospitals.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have publicized the research antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have publicized the research antibiotics.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin would have publicized the research cancer.",CW,Y
"If Charles Darwin had been enthusiastic about curing people, Darwin might have publicized the research cancer.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have published a book about aspirin.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have published a book about aspirin.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have published a book about drugs.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have published a book about drugs.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have published a book about hospitals.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have published a book about hospitals.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have published a book about antibiotics.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have published a book about antibiotics.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have published a book about cancer.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have published a book about cancer.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have written a paper on aspirin.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have written a paper on aspirin.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have written a paper on drugs.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have written a paper on drugs.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have written a paper on hospitals.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have written a paper on hospitals.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have written a paper on antibiotics.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have written a paper on antibiotics.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have written a paper on cancer.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have written a paper on cancer.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have analyzed aspirin.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have analyzed aspirin.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have analyzed drugs.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have analyzed drugs.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have analyzed hospitals.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have analyzed hospitals.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have analyzed antibiotics.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have analyzed antibiotics.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have analyzed cancer.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have analyzed cancer.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have publicized the research aspirin.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have publicized the research aspirin.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have publicized the research drugs.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have publicized the research drugs.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have publicized the research hospitals.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have publicized the research hospitals.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have publicized the research antibiotics.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have publicized the research antibiotics.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin would have publicized the research cancer.",CW,Y
"If Charles Darwin had worked on pharmaceutical work, Darwin might have publicized the research cancer.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have published a book about aspirin.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have published a book about aspirin.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have published a book about drugs.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have published a book about drugs.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have published a book about hospitals.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have published a book about hospitals.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have published a book about antibiotics.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have published a book about antibiotics.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have published a book about cancer.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have published a book about cancer.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have written a paper on aspirin.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have written a paper on aspirin.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have written a paper on drugs.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have written a paper on drugs.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have written a paper on hospitals.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have written a paper on hospitals.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have written a paper on antibiotics.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have written a paper on antibiotics.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have written a paper on cancer.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have written a paper on cancer.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have analyzed aspirin.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have analyzed aspirin.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have analyzed drugs.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have analyzed drugs.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have analyzed hospitals.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have analyzed hospitals.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have analyzed antibiotics.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have analyzed antibiotics.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have analyzed cancer.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have analyzed cancer.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have publicized the research aspirin.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have publicized the research aspirin.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have publicized the research drugs.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have publicized the research drugs.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have publicized the research hospitals.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have publicized the research hospitals.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have publicized the research antibiotics.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have publicized the research antibiotics.",CW,Y
"If Charles Darwin had worked on medicine, Darwin would have publicized the research cancer.",CW,Y
"If Charles Darwin had worked on medicine, Darwin might have publicized the research cancer.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have published a book about aspirin.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have published a book about aspirin.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have published a book about drugs.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have published a book about drugs.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have published a book about hospitals.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have published a book about hospitals.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have published a book about antibiotics.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have published a book about antibiotics.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have published a book about cancer.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have published a book about cancer.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have written a paper on aspirin.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have written a paper on aspirin.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have written a paper on drugs.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have written a paper on drugs.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have written a paper on hospitals.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have written a paper on hospitals.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have written a paper on antibiotics.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have written a paper on antibiotics.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have written a paper on cancer.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have written a paper on cancer.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have analyzed aspirin.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have analyzed aspirin.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have analyzed drugs.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have analyzed drugs.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have analyzed hospitals.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have analyzed hospitals.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have analyzed antibiotics.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have analyzed antibiotics.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have analyzed cancer.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have analyzed cancer.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have publicized the research aspirin.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have publicized the research aspirin.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have publicized the research drugs.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have publicized the research drugs.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have publicized the research hospitals.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have publicized the research hospitals.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have publicized the research antibiotics.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have publicized the research antibiotics.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin would have publicized the research cancer.",CW,Y
"If Charles Darwin had worked on pharmacy, Darwin might have publicized the research cancer.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have published a book about aspirin.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have published a book about aspirin.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have published a book about drugs.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have published a book about drugs.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have published a book about hospitals.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have published a book about hospitals.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have published a book about antibiotics.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have published a book about antibiotics.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have published a book about cancer.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have published a book about cancer.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have written a paper on aspirin.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have written a paper on aspirin.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have written a paper on drugs.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have written a paper on drugs.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have written a paper on hospitals.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have written a paper on hospitals.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have written a paper on antibiotics.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have written a paper on antibiotics.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have written a paper on cancer.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have written a paper on cancer.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have analyzed aspirin.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have analyzed aspirin.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have analyzed drugs.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have analyzed drugs.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have analyzed hospitals.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have analyzed hospitals.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have analyzed antibiotics.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have analyzed antibiotics.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have analyzed cancer.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have analyzed cancer.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have publicized the research aspirin.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have publicized the research aspirin.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have publicized the research drugs.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have publicized the research drugs.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have publicized the research hospitals.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have publicized the research hospitals.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have publicized the research antibiotics.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have publicized the research antibiotics.",CW,Y
"If Charles Darwin had worked on curing people, Darwin would have publicized the research cancer.",CW,Y
"If Charles Darwin had worked on curing people, Darwin might have publicized the research cancer.",CW,Y
"If cats had loved vegetables, people would have fed them with meat.",CW,N
"If cats had loved vegetables, people might have fed them with meat.",CW,N
"If cats had loved vegetables, people would have fed them with chicken.",CW,N
"If cats had loved vegetables, people might have fed them with chicken.",CW,N
"If cats had loved vegetables, people would have fed them with beef.",CW,N
"If cats had loved vegetables, people might have fed them with beef.",CW,N
"If cats had loved vegetables, people would have fed them with fish.",CW,N
"If cats had loved vegetables, people might have fed them with fish.",CW,N
"If cats had loved vegetables, people would have fed them with burgers.",CW,N
"If cats had loved vegetables, people might have fed them with burgers.",CW,N
"If cats had loved vegetables, zoo keepers would have fed them with meat.",CW,N
"If cats had loved vegetables, zoo keepers might have fed them with meat.",CW,N
"If cats had loved vegetables, zoo keepers would have fed them with chicken.",CW,N
"If cats had loved vegetables, zoo keepers might have fed them with chicken.",CW,N
"If cats had loved vegetables, zoo keepers would have fed them with beef.",CW,N
"If cats had loved vegetables, zoo keepers might have fed them with beef.",CW,N
"If cats had loved vegetables, zoo keepers would have fed them with fish.",CW,N
"If cats had loved vegetables, zoo keepers might have fed them with fish.",CW,N
"If cats had loved vegetables, zoo keepers would have fed them with burgers.",CW,N
"If cats had loved vegetables, zoo keepers might have fed them with burgers.",CW,N
"If cats had loved vegetables, families would have fed them with meat.",CW,N
"If cats had loved vegetables, families might have fed them with meat.",CW,N
"If cats had loved vegetables, families would have fed them with chicken.",CW,N
"If cats had loved vegetables, families might have fed them with chicken.",CW,N
"If cats had loved vegetables, families would have fed them with beef.",CW,N
"If cats had loved vegetables, families might have fed them with beef.",CW,N
"If cats had loved vegetables, families would have fed them with fish.",CW,N
"If cats had loved vegetables, families might have fed them with fish.",CW,N
"If cats had loved vegetables, families would have fed them with burgers.",CW,N
"If cats had loved vegetables, families might have fed them with burgers.",CW,N
"If cats had loved vegetables, their mothers would have fed them with meat.",CW,N
"If cats had loved vegetables, their mothers might have fed them with meat.",CW,N
"If cats had loved vegetables, their mothers would have fed them with chicken.",CW,N
"If cats had loved vegetables, their mothers might have fed them with chicken.",CW,N
"If cats had loved vegetables, their mothers would have fed them with beef.",CW,N
"If cats had loved vegetables, their mothers might have fed them with beef.",CW,N
"If cats had loved vegetables, their mothers would have fed them with fish.",CW,N
"If cats had loved vegetables, their mothers might have fed them with fish.",CW,N
"If cats had loved vegetables, their mothers would have fed them with burgers.",CW,N
"If cats had loved vegetables, their mothers might have fed them with burgers.",CW,N
"If cats had loved vegetables, breeders would have fed them with meat.",CW,N
"If cats had loved vegetables, breeders might have fed them with meat.",CW,N
"If cats had loved vegetables, breeders would have fed them with chicken.",CW,N
"If cats had loved vegetables, breeders might have fed them with chicken.",CW,N
"If cats had loved vegetables, breeders would have fed them with beef.",CW,N
"If cats had loved vegetables, breeders might have fed them with beef.",CW,N
"If cats had loved vegetables, breeders would have fed them with fish.",CW,N
"If cats had loved vegetables, breeders might have fed them with fish.",CW,N
"If cats had loved vegetables, breeders would have fed them with burgers.",CW,N
"If cats had loved vegetables, breeders might have fed them with burgers.",CW,N
"If cats had eaten vegetables, people would have fed them with meat.",CW,N
"If cats had eaten vegetables, people might have fed them with meat.",CW,N
"If cats had eaten vegetables, people would have fed them with chicken.",CW,N
"If cats had eaten vegetables, people might have fed them with chicken.",CW,N
"If cats had eaten vegetables, people would have fed them with beef.",CW,N
"If cats had eaten vegetables, people might have fed them with beef.",CW,N
"If cats had eaten vegetables, people would have fed them with fish.",CW,N
"If cats had eaten vegetables, people might have fed them with fish.",CW,N
"If cats had eaten vegetables, people would have fed them with burgers.",CW,N
"If cats had eaten vegetables, people might have fed them with burgers.",CW,N
"If cats had eaten vegetables, zoo keepers would have fed them with meat.",CW,N
"If cats had eaten vegetables, zoo keepers might have fed them with meat.",CW,N
"If cats had eaten vegetables, zoo keepers would have fed them with chicken.",CW,N
"If cats had eaten vegetables, zoo keepers might have fed them with chicken.",CW,N
"If cats had eaten vegetables, zoo keepers would have fed them with beef.",CW,N
"If cats had eaten vegetables, zoo keepers might have fed them with beef.",CW,N
"If cats had eaten vegetables, zoo keepers would have fed them with fish.",CW,N
"If cats had eaten vegetables, zoo keepers might have fed them with fish.",CW,N
"If cats had eaten vegetables, zoo keepers would have fed them with burgers.",CW,N
"If cats had eaten vegetables, zoo keepers might have fed them with burgers.",CW,N
"If cats had eaten vegetables, families would have fed them with meat.",CW,N
"If cats had eaten vegetables, families might have fed them with meat.",CW,N
"If cats had eaten vegetables, families would have fed them with chicken.",CW,N
"If cats had eaten vegetables, families might have fed them with chicken.",CW,N
"If cats had eaten vegetables, families would have fed them with beef.",CW,N
"If cats had eaten vegetables, families might have fed them with beef.",CW,N
"If cats had eaten vegetables, families would have fed them with fish.",CW,N
"If cats had eaten vegetables, families might have fed them with fish.",CW,N
